Time_ms;Coronal;Sagital;Transversal;;
768;-0.10313288114593845;-0.27375867164021206;-0.1777062261355738;#DCM=0.12,-0.99,-0.08,0.33,0.11,-0.94,0.94,0.09,0.34,62052;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75323
788;-0.10313288114593845;-0.27375867164021206;-0.1777062261355738;#DCM=0.12,-0.99,-0.08,0.33,0.11,-0.94,0.94,0.09,0.34,62052;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75364
809;-0.6417170119329193;-0.27375867164021206;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.33,0.11,-0.94,0.94,0.08,0.34,62093;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75364
829;-0.6417170119329193;-0.27375867164021206;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.33,0.11,-0.94,0.94,0.08,0.34,62093;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75405
850;-0.6417170119329193;-0.27375867164021206;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.33,0.11,-0.94,0.94,0.08,0.34,62134;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75405
870;-0.6417170119329193;-0.27375867164021206;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.33,0.11,-0.94,0.94,0.08,0.34,62134;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75446
891;-0.6417170119329193;-0.27375867164021206;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.33,0.11,-0.94,0.94,0.08,0.34,62134;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75487
911;-0.6417170119329193;-0.27375867164021206;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.33,0.11,-0.94,0.94,0.08,0.34,62134;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75528
932;-0.6417170119329193;-0.27375867164021206;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.33,0.11,-0.94,0.94,0.08,0.34,62134;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75569
952;-0.6417170119329193;-0.27375867164021206;-0.37280389886391807;#DCM=0.12,-0.99,-0.08,0.33,0.11,-0.94,0.94,0.08,0.34,62175;#DCM=0.08,0.99,-0.14,-0.66,0.16,0.74,0.75,0.03,0.66,75569
