Time_ms;Coronal;Sagital;Transversal;1;2
748;-0.09740291299729731;-0.35874802608418127;0.17688254772586492;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.05,0.39,303532;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241129;
768;-0.09740291299729731;-0.35874802608418127;0.17688254772586492;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.05,0.39,303532;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241170;
788;-0.6245305929338386;-0.35874802608418127;-0.0526717103253221;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.06,0.39,303572;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241170;
799;-0.6245305929338386;-0.35874802608418127;-0.0526717103253221;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.06,0.39,303593;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241170;
819;-0.6245305929338386;-0.4327555305444916;-0.0526717103253221;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.06,0.39,303634;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241170;
840;-0.6245305929338386;-0.4327555305444916;-0.0526717103253221;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.06,0.39,303675;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241170;
860;-0.6245305929338386;0.09100581753596763;-0.0526717103253221;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.06,0.40,303716;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241170;
881;-0.8021487637120154;0.09100581753596763;-0.5966874176857955;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.42,0.92,-0.06,0.40,303716;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241211;
901;-0.8021487637120154;0.1650162125956967;-0.5966874176857955;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.06,0.40,303757;#DCM=-0.31,0.02,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241211;
922;-0.6245305929338386;0.1650162125956967;-0.0526717103253221;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.06,0.40,303757;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241252;
942;-0.6245305929338386;-0.35874802608418127;-0.0526717103253221;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.06,0.39,303798;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241252;
963;-0.6245305929338386;-0.35874802608418127;-0.0526717103253221;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.06,0.39,303798;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241293;
983;-0.6245305929338386;-0.35874802608418127;-0.0526717103253221;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.06,0.39,303839;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241293;
1004;-0.6245305929338386;-0.35874802608418127;-0.0526717103253221;#DCM=0.38,0.43,-0.82,-0.12,0.90,0.41,0.92,-0.06,0.39,303880;#DCM=-0.31,0.01,0.95,-0.02,-1.00,0.01,0.95,-0.02,0.31,241293;
